imdb_title_id,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote
tt4720596,4.8,4.8,4.7,4.9,4.8,4.9
tt4720654,6.7,7.3,6.5,6.9,6.7,7.1
tt4720674,7.1,7.1,6.9,7.3,7.0,7.4
tt4720702,5.2,5.2,5.2,5.2,5.2,5.0
tt4721124,6.8,6.8,6.7,6.9,6.7,7.0
tt4721400,6.6,6.8,6.6,6.6,6.6,6.7
tt4721404,5.3,5.3,5.0,5.4,5.2,5.4
tt4723246,4.5,2.8,4.6,4.3,4.0,6.4
tt4723718,5.7,5.6,5.7,7.5,5.5,6.7
tt4723724,5.7,4.6,5.5,5.9,5.8,4.7
tt4725842,3.8,3.6,3.9,4.0,3.8,3.9
tt4726636,6.0,6.4,6.0,5.9,6.0,6.1
tt4726988,5.3,5.5,5.3,5.6,5.4,5.3
tt4727128,5.7,5.9,5.4,5.2,5.3,6.7
tt4727512,7.5,7.7,6.9,5.6,7.4,6.0
tt4727756,5.3,5.5,5.4,5.6,5.5,5.5
tt4728338,5.8,6.0,5.6,5.7,5.8,5.8
tt4728582,5.4,5.7,5.3,5.4,5.3,6.1
tt4729426,5.3,5.0,4.9,5.4,5.1,5.0
tt4729430,8.2,8.3,8.1,7.9,8.1,8.4
tt4729560,5.4,5.7,5.3,5.6,5.4,5.7
tt4729642,4.2,4.0,4.2,4.0,4.0,4.5
tt4729726,5.2,5.0,5.2,5.1,5.2,5.0
tt4729766,6.4,6.4,6.4,6.3,6.3,6.4
tt4729790,4.5,3.6,4.7,4.4,4.5,4.4
tt4729794,6.6,6.5,6.5,6.5,6.4,7.1
tt4729896,6.8,6.8,6.9,6.8,6.9,6.6
tt4729990,5.8,5.9,5.8,5.7,5.8,5.8
tt4730224,8.2,3.2,3.5,3.8,3.4,6.8
tt4730638,5.4,4.1,3.9,4.0,3.8,3.3
tt4730706,4.6,4.8,4.5,4.6,4.6,4.8
tt4730838,6.8,6.6,6.9,6.6,6.8,7.0
tt4730986,7.4,7.7,7.3,7.1,7.3,7.8
tt4731008,5.4,5.6,5.2,5.5,5.3,5.5
tt4731132,5.6,5.6,5.7,5.3,5.5,6.3
tt4731136,6.4,6.5,6.3,6.3,6.4,6.3
